ticker,event_date,momentum_pct,filtered_dirname,quote_data_file,status,error,filtered_row_count,filtered_distinct_sip_ts,filtered_dedup_ratio,quote_data_row_count,coverage_ratio,filtered_min_sip_ts,filtered_max_sip_ts,quote_data_min_ts,quote_data_max_ts,span_ratio
WVE,2022-04-04,40.39,WVE_2022-04-04_40.39,WVE_quotes_2022_04_04.parquet,OK,,24377,24377,1.0,7590,0.31135906797390983,1648627218394622032,1649368646678370675,1649059204566950529,1649112365475326106,0.07170067495509716
ENSC,2024-11-01,51.06,ENSC_2024-11-01_51.06,ENSC_quotes_2024_11_01.parquet,OK,,434410,434410,1.0,89534,0.20610483184088765,1730188740107261383,1730941199019753534,1730447940188189988,1730505596689710944,0.07662411935556337
BAOS,2023-06-28,42.15,BAOS_2023-06-28_42.15,BAOS_quotes_2023_06_28.parquet,OK,,25407,25407,1.0,17822,0.7014602274963593,1687507140065474952,1688414460104108577,1687939140025024670,1687996794987371104,0.06354424006027604
PUMP,2020-03-31,31.94,PUMP_2020-03-31_31.94,PUMP_quotes_2020_03_31.parquet,OK,,151588,140836,0.929070902709977,19126,0.12617093701348392,1585209600451573695,1585958400086912470,1585652400270600364,1585699200106890773,0.0624998118077817
GRI,2024-10-16,48.24,GRI_2024-10-16_48.24,GRI_quotes_2024_10_16.parquet,OK,,402710,402710,1.0,17662,0.04385786297832187,1728547140029800040,1729555195183567413,1729065540051824706,1729123179770037174,0.0571791315158232
ONDS,2024-12-10,31.58,ONDS_2024-12-10_31.58,ONDS_quotes_2024_12_10.parquet,OK,,65920,65920,1.0,10439,0.15835861650485436,1733389140027432006,1734137989636484464,1733821140029835223,1733878765342727861,0.07695178337016567
NNBR,2020-04-27,33.47,NNBR_2020-04-27_33.47,NNBR_quotes_2020_04_27.parquet,OK,,71823,71823,1.0,18217,0.25363741419879426,1587542400038075496,1588288793103310823,1587974400041838780,1588031832514138100,0.07694668529806392
IKT,2024-05-15,44.16,IKT_2024-05-15_44.16,IKT_quotes_2024_05_15.parquet,OK,,6148,6148,1.0,2306,0.3750813272608979,1715327940075097353,1716246888087391709,1715759940082934548,1715817248928407721,0.06236353385224574
UNFI,2024-10-01,32.76,UNFI_2024-10-01_32.76,UNFI_quotes_2024_10_01.parquet,OK,,153819,151115,0.9824208972883715,56936,0.3701493313569845,1727337540135437568,1728086400173231872,1727769540116562688,1727827200185342976,0.07699712345463146
MG,2020-04-09,39.34,MG_2020-04-09_39.34,MG_quotes_2020_04_09.parquet,OK,,41702,41054,0.9844611769219702,9948,0.23854970984605056,1586170800241678406,1586908800081174099,1586430000241540297,1586476800105910704,0.06341446415813227
GIFI,2024-03-08,30.31,GIFI_2024-03-08_30.31,GIFI_quotes_2024_03_08.parquet,OK,,7883,7883,1.0,3440,0.43638208803754913,1709629140089677935,1710368866081927435,1709802000012090763,1709945979903576363,0.1946394921824478
ROMA,2024-01-10,94.13,ROMA_2024-01-10_94.13,ROMA_quotes_2024_01_10.parquet,OK,,168583,168583,1.0,51293,0.3042596228563971,1704814500662050859,1705453167847858026,1704877140063556802,1704934799188426965,0.09028039353124373
AUR,2022-09-02,32.23,AUR_2022-09-02_32.23,AUR_quotes_2022_09_02.parquet,OK,,135481,135481,1.0,59068,0.4359873340173161,1661846401806591465,1662671939945532951,1662105600053585496,1662162575322317233,0.06901591343168144
BORR,2022-07-25,33.85,BORR_2022-07-25_33.85,BORR_quotes_2022_07_25.parquet,OK,,123054,117087,0.9515090935686772,34822,0.2829814552960489,1658304000026362880,1659046710593470720,1658736000025289216,1658793599826344448,0.07755349608061875
NWL,2024-07-26,41.32,NWL_2024-07-26_41.32,NWL_quotes_2024_07_26.parquet,OK,,490276,490276,1.0,187801,0.3830515872692116,1721721540056843997,1722470399439908866,1721894400035143349,1722038390807876553,0.19228012092723018
LMFA,2022-08-17,72.22,LMFA_2022-08-17_72.22,LMFA_quotes_2022_08_17.parquet,OK,,8392,8392,1.0,3792,0.451858913250715,1660291200002764601,1661204487181728043,1660723200023824207,1660780155060280196,0.06236268040095727
CLWT,2020-06-17,32.53,CLWT_2020-06-17_32.53,CLWT_quotes_2020_06_17.parquet,OK,,5249,5249,1.0,1352,0.257572871023052,1591948800073048446,1592870387733582592,1592380800075779503,1592438296113917181,0.0623880294841987
VS,2023-11-24,146.67,VS_2023-11-24_146.67,VS_quotes_2023_11_24.parquet,OK,,84417,84417,1.0,64589,0.76511840032221,1700470740024608162,1701305707934523950,1700816340030519505,1700863198994686384,0.05612067674745133
IH,2022-12-16,46.44,IH_2022-12-16_46.44,IH_quotes_2022_12_16.parquet,OK,,2605,2586,0.9927063339731286,658,0.2525911708253359,1670938702300804352,1671670800163078144,1671181262443260672,1671238800142068992,0.07859290645872954
CGTX,2024-12-18,183.58,CGTX_2024-12-18_183.58,CGTX_quotes_2024_12_18.parquet,OK,,378905,378905,1.0,301348,0.7953128092793709,1734080340092725332,1735001955268145987,1734512340137601692,1734569995618066723,0.06255917003397342
NEWT,2020-03-26,47.02,NEWT_2020-03-26_47.02,NEWT_quotes_2020_03_26.parquet,OK,,49862,49862,1.0,10454,0.20965865789579238,1584950400034982521,1585693727409605157,1585209600035482002,1585265066608178131,0.07461930582643703
LPSN,2023-08-09,38.10,LPSN_2023-08-09_38.10,LPSN_quotes_2023_08_09.parquet,OK,,357795,357795,1.0,96642,0.27010438938498305,1691135940014612357,1692054176498725006,1691567940029945295,1691625251343041014,0.0624145458030919
ANF,2023-05-24,31.63,ANF_2023-05-24_31.63,ANF_quotes_2023_05_24.parquet,OK,,459933,448506,0.9751550769351188,92510,0.20113799183794162,1684483140097666048,1685490969274797568,1684915140060789248,1684972424745726720,0.05683967703784433
SOPA,2023-10-12,61.01,SOPA_2023-10-12_61.01,SOPA_quotes_2023_10_12.parquet,OK,,21256,21256,1.0,14630,0.6882762514113662,1696579140083483364,1697580917086725561,1697097540032885650,1697155170970663350,0.05752870907515404
AXSM,2022-08-19,44.03,AXSM_2022-08-19_44.03,AXSM_quotes_2022_08_19.parquet,OK,,277022,277022,1.0,114464,0.41319461992188344,1660647638749270189,1661385264308400847,1660904135008884709,1660953511876978638,0.06694028898906784
WAFU,2020-02-27,38.03,WAFU_2020-02-27_38.03,WAFU_quotes_2020_02_27.parquet,OK,,2342,2342,1.0,796,0.3398804440649018,1582534800061750913,1583274802249149927,1582794000057558354,1582846590835141481,0.07106840828129837
POLA,2021-01-15,76.73,POLA_2021-01-15_76.73,POLA_quotes_2021_01_15.parquet,OK,,253500,253500,1.0,99352,0.39192110453648915,1610442000057759027,1611277185666093716,1610701200059716265,1610758762206115337,0.06892138205523864
PT,2020-09-18,37.36,PT_2020-09-18_37.36,PT_quotes_2020_09_18.parquet,OK,,3549,3549,1.0,2122,0.5979149056072133,1600156800045502198,1600894629083533316,1600416000047272224,1600473414891161473,0.07781591795635932
XPEV,2020-11-05,33.04,XPEV_2020-11-05_33.04,XPEV_quotes_2020_11_05.parquet,OK,,1262488,1225984,0.9710856657647439,509118,0.40326561519792664,1604307612210903552,1605056400254362624,1604480507852774144,1604624400234883840,0.1921670402814879
HCWB,2024-11-18,755.40,HCWB_2024-11-18_755.40,HCWB_quotes_2024_11_18.parquet,OK,,764559,764559,1.0,491913,0.6433944273757813,1731488340068071012,1732237170659332723,1731920340017241943,1731977998268480915,0.07699772406709925
IFBD,2023-08-31,121.43,IFBD_2023-08-31_121.43,IFBD_quotes_2023_08_31.parquet,OK,,67042,67042,1.0,44139,0.6583783300020882,1693209540028025429,1694044762347644864,1693468740102425439,1693526396242425912,0.06903088991532666
TDC,2021-02-08,34.82,TDC_2021-02-08_34.82,TDC_quotes_2021_02_08.parquet,OK,,456780,445914,0.9762117430710626,119546,0.2617146109724594,1612353600142471936,1613091600325622528,1612777349487082496,1612832400332787456,0.07459462336437747
IMTE,2021-02-01,74.17,IMTE_2021-02-01_74.17,IMTE_quotes_2021_02_01.parquet,OK,,77917,77917,1.0,48351,0.6205449388451814,1611738000066741246,1612474981262341554,1612170000076945853,1612227599231912623,0.0781555286764849
REKR,2024-05-20,42.42,REKR_2024-05-20_42.42,REKR_quotes_2024_05_20.parquet,OK,,107955,107955,1.0,33334,0.3087768051502941,1715759940155883483,1716503598047739933,1716191940123387602,1716248779125966818,0.07643165385809926
NNE,2024-09-11,32.99,NNE_2024-09-11_32.99,NNE_quotes_2024_09_11.parquet,OK,,90025,90025,1.0,15741,0.17485143015828936,1725609540055231072,1726531188755582424,1726041540038645576,1726099174892646036,0.06253451448310877
QNRX,2024-10-16,211.51,QNRX_2024-10-16_211.51,QNRX_quotes_2024_10_16.parquet,OK,,155365,155365,1.0,79900,0.5142728413735397,1728547140008762296,1729555088868305371,1729065540064800534,1729123197506703744,0.057202745315221015
YSG,2022-04-04,31.59,YSG_2022-04-04_31.59,YSG_quotes_2022_04_04.parquet,OK,,96964,95157,0.9813642176477868,26235,0.27056433315457284,1648627200017336576,1649376000175229696,1649059200018353152,1649116800877442304,0.07692420799058333
MNSO,2022-11-14,35.64,MNSO_2022-11-14_35.64,MNSO_quotes_2022_11_14.parquet,OK,,140108,137499,0.9813786507551318,23971,0.1710894452850658,1667898000021768448,1668733200451333120,1668416400024640000,1668474000139292160,0.06896561904569741
ATLX,2023-04-24,33.00,ATLX_2023-04-24_33.00,ATLX_quotes_2023_04_24.parquet,OK,,44555,44555,1.0,15865,0.35607675906183367,1681891140096108605,1682639558566127352,1682323140022710294,1682379970615944595,0.07593424736414837
BFLY,2023-04-04,35.83,BFLY_2023-04-04_35.83,BFLY_quotes_2023_04_04.parquet,OK,,174043,159399,0.9158598737093707,99300,0.5705486575156714,1680163140049822720,1680825514510199808,1680595140023141120,1680652800252596736,0.08705080419735717
FOSL,2020-11-12,38.02,FOSL_2020-11-12_38.02,FOSL_quotes_2020_11_12.parquet,OK,,314023,314023,1.0,63350,0.2017368154561927,1604653200019363886,1605660679785286185,1605171600019173380,1605229190337421503,0.057162754227030904
MUX,2021-02-01,32.23,MUX_2021-02-01_32.23,MUX_quotes_2021_02_01.parquet,OK,,143969,137095,0.9522536101521856,40423,0.2807757225513826,1611748800199887872,1612486742191850496,1612170255737948416,1612224598991484672,0.07364163325592187
TEN,2024-07-01,52.08,TEN_2024-07-01_52.08,TEN_quotes_2024_07_01.parquet,OK,,19043,18735,0.9838260778238723,4192,0.2201333823452187,1719820740045805824,1720224000008009984,1719820740045805824,1719878400186234368,0.14298503653420513
SOBR,2024-06-04,180.83,SOBR_2024-06-04_180.83,SOBR_quotes_2024_06_04.parquet,OK,,273006,273006,1.0,164378,0.6021039830626433,1717055940067554745,1717804463595694943,1717487940012054630,1717545599665312458,0.07703118351014396
ASYS,2024-02-12,30.23,ASYS_2024-02-12_30.23,ASYS_quotes_2024_02_12.parquet,OK,,6080,6080,1.0,1885,0.3100328947368421,1707296340125837411,1708044996354518833,1707728340018902429,1707785329490480650,0.07612235014539885
ASNS,2024-05-23,51.71,ASNS_2024-05-23_51.71,ASNS_quotes_2024_05_23.parquet,OK,,20406,20406,1.0,16653,0.8160835048515143,1716191940064623024,1717025533976101854,1716451140086912632,1716508773507524458,0.06913848556017153
UONE,2021-05-20,65.56,UONE_2021-05-20_65.56,UONE_quotes_2021_05_20.parquet,OK,,349741,349741,1.0,170408,0.4872405580129296,1621238400032661842,1621986336968672504,1621497600032003412,1621555198359905156,0.07700960485914941
TIRX,2024-05-24,42.38,TIRX_2024-05-24_42.38,TIRX_quotes_2024_05_24.parquet,OK,,59007,59007,1.0,45655,0.7737217618248682,1716278340152339989,1717113574382494200,1716537540044362566,1716595167016602408,0.0689949838732091
GTEC,2024-08-16,54.93,GTEC_2024-08-16_54.93,GTEC_quotes_2024_08_16.parquet,OK,,145078,145078,1.0,118393,0.8160644618756807,1723535940072317922,1724284495535506263,1723795140097485722,1723852788923570171,0.07701343309806853
SLDB,2023-11-15,43.66,SLDB_2023-11-15_43.66,SLDB_quotes_2023_11_15.parquet,OK,,47628,47628,1.0,38733,0.8132401108591585,1699520340095483181,1700528002213141126,1700038740010208531,1700096279150557320,0.057101621010149844
QH,2024-09-23,44.66,QH_2024-09-23_44.66,QH_quotes_2024_09_23.parquet,OK,,33979,33979,1.0,17906,0.5269725418640925,1726646340015812465,1727394858781777869,1727078340091315144,1727135997347883556,0.07702847168306917
SST,2023-12-20,41.06,SST_2023-12-20_41.06,SST_quotes_2023_12_20.parquet,OK,,20759,20352,0.9803940459559709,8330,0.4012717375596127,1702621803383264256,1703638800284529920,1703062740066087680,1703112917917191168,0.049339236964282884
MFA,2020-03-26,154.39,MFA_2020-03-26_154.39,MFA_quotes_2020_03_26.parquet,OK,,1089400,892765,0.819501560492014,523144,0.4802129612630806,1584956070042692064,1585699200105297716,1585209620270666079,1585267200102732051,0.07748284582119941
GEVO,2022-03-08,30.11,GEVO_2022-03-08_30.11,GEVO_quotes_2022_03_08.parquet,OK,,817432,817432,1.0,232660,0.2846230634474794,1646298000030821647,1647043527068655024,1646730000029449610,1646787568372772911,0.07721831724655351
TRIL,2020-03-02,52.28,TRIL_2020-03-02_52.28,TRIL_quotes_2020_03_02.parquet,OK,,270540,270540,1.0,75999,0.28091594588600577,1582707600053259234,1583452931510193183,1583139600047711571,1583197160187185755,0.07722757296594951
KALA,2023-12-05,69.03,KALA_2023-12-05_69.03,KALA_quotes_2023_12_05.parquet,OK,,10938,10938,1.0,7428,0.6791003839824465,1701334740041162628,1702076641406566551,1701766740100732755,1701824044150887094,0.07723944560088551
SOS,2021-01-29,35.42,SOS_2021-01-29_35.42,SOS_quotes_2021_01_29.parquet,OK,,432664,419100,0.968650037904702,143170,0.33090342621526175,1611651608984861696,1612400371067445248,1611910932544249856,1611968399280757248,0.07674899389817788
IMNM,2021-02-24,70.82,IMNM_2021-02-24_70.82,IMNM_quotes_2021_02_24.parquet,OK,,45705,45705,1.0,11355,0.24844108959632424,1613725200128084962,1614645749365069496,1614157200084262002,1614214231204864280,0.061953362526372034
AIXI,2024-08-20,30.75,AIXI_2024-08-20_30.75,AIXI_quotes_2024_08_20.parquet,OK,,29660,29657,0.9998988536749831,6809,0.22956844234659474,1723708740030375704,1724457528642479793,1724140740035066995,1724198099382027237,0.0766028569786375
MOMO,2022-03-16,53.33,MOMO_2022-03-16_53.33,MOMO_quotes_2022_03_16.parquet,OK,,673138,673138,1.0,230240,0.3420398194723816,1646989200000874127,1647905439835963765,1647331200036743945,1647475197434313885,0.15716124976802867
INM,2023-10-24,258.62,INM_2023-10-24_258.62,INM_quotes_2023_10_24.parquet,OK,,185200,185200,1.0,170992,0.9232829373650108,1697702340016840877,1698451197129771092,1698134340055720752,1698191997790964985,0.07699430805781242
CMPOW,2022-11-03,44.00,CMPOW_2022-11-03_44.00,CMPOW_quotes_2022_11_03.parquet,OK,,2196,2196,1.0,645,0.2937158469945355,1667214000023415301,1667941230764142529,1667386800083845252,1667519999635179225,0.18315995718329225
RRR,2020-03-19,80.05,RRR_2020-03-19_80.05,RRR_quotes_2020_03_19.parquet,OK,,251471,251471,1.0,50804,0.20202727153429223,1584345600055171986,1585091208975267732,1584518435339777141,1584660324556133208,0.1902997838838175
BORR,2020-03-26,125.04,BORR_2020-03-26_125.04,BORR_quotes_2020_03_26.parquet,OK,,269899,264325,0.9793478301142279,152415,0.5647112438356571,1584950402068276132,1585699208779284903,1585209609103960453,1585267215052047095,0.07693033093818953
NMFC,2020-03-25,33.44,NMFC_2020-03-25_33.44,NMFC_quotes_2020_03_25.parquet,OK,,158625,151176,0.9530401891252955,28768,0.1813585500394011,1584702016007589192,1585612800101111849,1585131866356343752,1585180800092087755,0.053727042547198046
ARTL,2021-11-01,84.46,ARTL_2021-11-01_84.46,ARTL_quotes_2021_11_01.parquet,OK,,220719,220719,1.0,125166,0.5670830331779321,1635321600041459469,1636069720043854770,1635753600039456198,1635811137479070431,0.07690937206599463
DRMA,2024-01-05,45.93,DRMA_2024-01-05_45.93,DRMA_quotes_2024_01_05.parquet,OK,,81646,81646,1.0,45701,0.5597457315728879,1704185940056263197,1704934776941304081,1704445140129578247,1704502788885711461,0.07698439711615777
WCT,2024-12-26,31.65,WCT_2024-12-26_31.65,WCT_quotes_2024_12_26.parquet,OK,,6827,6827,1.0,1404,0.20565402079976564,1734685140080570374,1735692002892588108,1735203540030726979,1735261179725622996,0.05724682072675635
GGROW,2022-06-23,34.13,GGROW_2022-06-23_34.13,GGROW_quotes_2022_06_23.parquet,OK,,10801,10801,1.0,3003,0.2780298120544394,1655452800028313008,1656446405391494025,1655900534391380356,1656025865446864154,0.12613766000875032
BYFC,2020-07-02,44.25,BYFC_2020-07-02_44.25,BYFC_quotes_2020_07_02.parquet,OK,,279025,279025,1.0,52989,0.18990771436251233,1593417600070392850,1594252788958439159,1593676800065254944,1593734395261906126,0.06896068359567123
VAL,2020-06-12,34.73,VAL_2020-06-12_34.73,VAL_quotes_2020_06_12.parquet,OK,,224278,206252,0.919626534925405,22696,0.10119583730905395,1591689608454423576,1592438400132974951,1591948807773197427,1592006400179836207,0.07691379096279387
EQS,2020-11-09,42.37,EQS_2020-11-09_42.37,EQS_quotes_2020_11_09.parquet,OK,,1671,1652,0.9886295631358468,1207,0.7223219628964692,1604498415092435200,1605308122487280384,1604927484028613376,1604962708725064960,0.043502994632176925
KRYS,2024-02-26,45.76,KRYS_2024-02-26_45.76,KRYS_quotes_2024_02_26.parquet,OK,,256427,256427,1.0,116373,0.4538250652232409,1708505940049543917,1709251455501293354,1708937940091740144,1708995390145330823,0.07706084891448715
KODK,2020-07-30,33.86,KODK_2020-07-30_33.86,KODK_quotes_2020_07_30.parquet,OK,,2235895,2163873,0.9677882905950413,265070,0.11855207869779216,1595843028530392832,1596585600164560640,1596096006959390208,1596153600220024064,0.077559198310073
NNE,2024-07-01,38.18,NNE_2024-07-01_38.18,NNE_quotes_2024_07_01.parquet,OK,,162744,162744,1.0,44028,0.2705353192744433,1719388740134769716,1720223981204601337,1719820740065145410,1719878393608416780,0.06902623129271238
BAOS,2021-06-11,58.23,BAOS_2021-06-11_58.23,BAOS_quotes_2021_06_11.parquet,OK,,11541,11541,1.0,5986,0.5186725587037518,1623139200064803907,1623887821324294256,1623398431893027334,1623455999403356123,0.0768980437023391
CMMB,2021-11-01,31.28,CMMB_2021-11-01_31.28,CMMB_quotes_2021_11_01.parquet,OK,,22232,22232,1.0,8543,0.3842659229938827,1635321600080917379,1636056007465117949,1635753600078685270,1635810600597229200,0.07761430477169998
MHUA,2023-05-16,34.03,MHUA_2023-05-16_34.03,MHUA_quotes_2023_05_16.parquet,OK,,14484,14484,1.0,2833,0.1955951394642364,1683791940048622059,1684540776610561582,1684223940103831765,1684279015509225453,0.0735479651942208
KZR,2022-06-28,90.66,KZR_2022-06-28_90.66,KZR_quotes_2022_06_28.parquet,OK,,424258,424258,1.0,163470,0.38530799654926956,1655971200027518325,1656719996682260663,1656403200027295157,1656460776885154862,0.07689251480365825
PHUN,2021-04-06,43.60,PHUN_2021-04-06_43.60,PHUN_quotes_2021_04_06.parquet,OK,,233850,233850,1.0,147319,0.6299722044045328,1617264000039344735,1618012691914477146,1617696000037785474,1617753531315064293,0.07684239563658177
GALT,2021-04-14,32.10,GALT_2021-04-14_32.10,GALT_quotes_2021_04_14.parquet,OK,,106800,106800,1.0,61591,0.5766947565543071,1617955200028845364,1618876718235523272,1618387200023097296,1618442762854904254,0.06029488229783668
CAPR,2020-03-17,33.66,CAPR_2020-03-17_33.66,CAPR_quotes_2020_03_17.parquet,OK,,6380,6380,1.0,991,0.15532915360501567,1584000000050119866,1584746941427001294,1584432000046154154,1584484789808235485,0.0706745719479817
LXEH,2024-09-30,58.87,LXEH_2024-09-30_58.87,LXEH_quotes_2024_09_30.parquet,OK,,7536,7533,0.9996019108280255,3418,0.45355626326963905,1727251140057229045,1727988062043730810,1727700900000430395,1727740364816709327,0.0535535877634416
PHUN,2024-03-04,138.56,PHUN_2024-03-04_138.56,PHUN_quotes_2024_03_04.parquet,OK,,606183,606183,1.0,285357,0.47074398325258215,1709110740064085604,1709859590711620867,1709542740079520225,1709600399514949758,0.07699724320104544
GAME,2022-12-14,52.00,GAME_2022-12-14_52.00,GAME_quotes_2022_12_14.parquet,OK,,65636,65636,1.0,4926,0.07505027728685477,1670576400023008669,1671497472180095076,1671008400024826698,1671065840703612578,0.06236284350140378
