ticker,event_date,momentum_pct,deleted_dir
ADSEW,2025-10-20,50.00,data/filtered/ADSEW_None_50.00
ADTX,2025-01-15,52.92,data/filtered/ADTX_None_52.92
ADTX,2025-01-16,58.55,data/filtered/ADTX_None_58.55
ADTX,2025-02-18,65.71,data/filtered/ADTX_None_65.71
ADTX,2025-02-19,43.64,data/filtered/ADTX_None_43.64
ADTX,2025-03-05,40.56,data/filtered/ADTX_None_40.56
ADTX,2025-03-18,129.75,data/filtered/ADTX_None_129.75
ADTX,2025-03-19,64.00,data/filtered/ADTX_None_64.00
ADTX,2025-04-17,30.45,data/filtered/ADTX_None_30.45
ADTX,2025-06-25,64.65,data/filtered/ADTX_None_64.65
ADVB,2025-04-28,32.60,data/filtered/ADVB_None_32.60
ADVB,2025-05-12,35.95,data/filtered/ADVB_None_35.95
ADVM,2025-09-19,30.17,data/filtered/ADVM_None_30.17
ADVM,2025-09-23,50.00,data/filtered/ADVM_None_50.00
ADXN,2025-02-24,30.85,data/filtered/ADXN_None_30.85
ADXN,2025-06-06,31.97,data/filtered/ADXN_None_31.97
ADXN,2025-09-12,37.24,data/filtered/ADXN_None_37.24
ADXN,2025-10-17,40.33,data/filtered/ADXN_None_40.33
AEBI,2025-07-03,34.26,data/filtered/AEBI_None_34.26
AEHL,2025-02-12,35.75,data/filtered/AEHL_None_35.75
AEHL,2025-04-04,135.24,data/filtered/AEHL_None_135.24
AEHL,2025-04-09,285.78,data/filtered/AEHL_None_285.78
AEHL,2025-04-11,55.59,data/filtered/AEHL_None_55.59
AEHL,2025-04-22,31.98,data/filtered/AEHL_None_31.98
AEHL,2025-07-29,53.65,data/filtered/AEHL_None_53.65
AEHL,2025-08-14,32.53,data/filtered/AEHL_None_32.53
AEHL,2025-09-10,127.56,data/filtered/AEHL_None_127.56
AEHR,2025-04-09,30.53,data/filtered/AEHR_None_30.53
AEHR,2025-07-22,32.64,data/filtered/AEHR_None_32.64
AEHR,2025-08-25,42.38,data/filtered/AEHR_None_42.38
AEI,2025-06-30,38.30,data/filtered/AEI_None_38.30
AEI,2025-09-03,37.04,data/filtered/AEI_None_37.04
AEI,2025-09-08,33.73,data/filtered/AEI_None_33.73
AEI,2025-09-11,59.24,data/filtered/AEI_None_59.24
AEI,2025-09-16,41.74,data/filtered/AEI_None_41.74
AEMD,2025-07-09,32.77,data/filtered/AEMD_None_32.77
AEMD,2025-08-21,146.85,data/filtered/AEMD_None_146.85
AEMD,2025-08-28,30.74,data/filtered/AEMD_None_30.74
AEO,2025-09-04,38.40,data/filtered/AEO_None_38.40
AERT,2025-06-10,53.62,data/filtered/AERT_None_53.62
AERT,2025-06-16,57.59,data/filtered/AERT_None_57.59
AERT,2025-08-14,107.14,data/filtered/AERT_None_107.14
AERT,2025-09-18,111.42,data/filtered/AERT_None_111.42
AEVAW,2025-06-27,47.50,data/filtered/AEVAW_None_47.50
AEVAW,2025-07-02,44.93,data/filtered/AEVAW_None_44.93
AEVA,2025-03-20,38.59,data/filtered/AEVA_None_38.59
AFRIW,2025-01-30,31.59,data/filtered/AFRIW_None_31.59
AFRIW,2025-02-12,46.81,data/filtered/AFRIW_None_46.81
AGAE,2025-01-06,32.50,data/filtered/AGAE_None_32.50
AGAE,2025-05-12,71.56,data/filtered/AGAE_None_71.56
AGAE,2025-05-28,61.97,data/filtered/AGAE_None_61.97
AGAE,2025-06-03,30.89,data/filtered/AGAE_None_30.89
AGAE,2025-06-12,31.69,data/filtered/AGAE_None_31.69
AGAE,2025-09-12,150.25,data/filtered/AGAE_None_150.25
AGCC,2025-10-28,60.47,data/filtered/AGCC_None_60.47
AGEN,2025-04-22,42.86,data/filtered/AGEN_None_42.86
AGEN,2025-05-12,39.51,data/filtered/AGEN_None_39.51
AGH,2025-02-19,65.31,data/filtered/AGH_None_65.31
AGH,2025-02-20,87.05,data/filtered/AGH_None_87.05
AGH,2025-02-26,35.50,data/filtered/AGH_None_35.50
AGH,2025-03-20,41.61,data/filtered/AGH_None_41.61
AGH,2025-07-23,238.15,data/filtered/AGH_None_238.15
AGH,2025-07-25,46.20,data/filtered/AGH_None_46.20
AGH,2025-08-11,51.14,data/filtered/AGH_None_51.14
AGH,2025-09-10,43.66,data/filtered/AGH_None_43.66
AGH,2025-09-26,41.74,data/filtered/AGH_None_41.74
AGH,2025-10-20,35.36,data/filtered/AGH_None_35.36
AGL,2025-04-08,43.06,data/filtered/AGL_None_43.06
AGMH,2025-03-06,182.30,data/filtered/AGMH_None_182.30
AGMH,2025-04-02,39.05,data/filtered/AGMH_None_39.05
AGMH,2025-04-23,158.00,data/filtered/AGMH_None_158.00
AGMH,2025-04-25,74.36,data/filtered/AGMH_None_74.36
AGMH,2025-04-28,203.50,data/filtered/AGMH_None_203.50
AGMH,2025-05-05,50.75,data/filtered/AGMH_None_50.75
AGMH,2025-05-16,39.50,data/filtered/AGMH_None_39.50
AGMH,2025-06-04,75.44,data/filtered/AGMH_None_75.44
AGMH,2025-09-09,30.39,data/filtered/AGMH_None_30.39
AGMH,2025-09-10,99.09,data/filtered/AGMH_None_99.09
AGMH,2025-09-19,711.66,data/filtered/AGMH_None_711.66
AGRZ,2025-10-07,69.03,data/filtered/AGRZ_None_69.03
AGRZ,2025-10-08,46.17,data/filtered/AGRZ_None_46.17
AGRZ,2025-10-10,47.89,data/filtered/AGRZ_None_47.89
AGRZ,2025-10-16,36.91,data/filtered/AGRZ_None_36.91
AGRZ,2025-10-21,47.54,data/filtered/AGRZ_None_47.54
AGX,2025-03-28,30.90,data/filtered/AGX_None_30.90
AHG,2025-04-22,42.06,data/filtered/AHG_None_42.06
AHG,2025-07-09,58.91,data/filtered/AHG_None_58.91
AHMA,2025-10-29,34.12,data/filtered/AHMA_None_34.12
AHT,2025-02-13,38.74,data/filtered/AHT_None_38.74
AIFF,2025-01-14,205.26,data/filtered/AIFF_None_205.26
AIFF,2025-02-11,271.29,data/filtered/AIFF_None_271.29
AIFF,2025-02-12,72.02,data/filtered/AIFF_None_72.02
AIFF,2025-02-13,32.61,data/filtered/AIFF_None_32.61
AIFF,2025-03-17,34.58,data/filtered/AIFF_None_34.58
AIFF,2025-05-05,37.92,data/filtered/AIFF_None_37.92
AIFF,2025-08-26,40.15,data/filtered/AIFF_None_40.15
AIFU,2025-05-02,146.70,data/filtered/AIFU_None_146.70
AIFU,2025-05-06,126.72,data/filtered/AIFU_None_126.72
AIFU,2025-05-12,84.20,data/filtered/AIFU_None_84.20
AIFU,2025-06-24,79.43,data/filtered/AIFU_None_79.43
AIHS,2025-06-05,48.35,data/filtered/AIHS_None_48.35
AIHS,2025-06-10,55.96,data/filtered/AIHS_None_55.96
AIHS,2025-09-03,244.17,data/filtered/AIHS_None_244.17
AIHS,2025-09-08,38.66,data/filtered/AIHS_None_38.66
