ticker,date,size_bytes,mtime
AURA,2021-11-02,511152,1763799321.694857
AURA,2022-08-17,269333,1763799323.100938
AUROW,2021-11-18,209237,1763799324.4359376
AUROW,2021-11-19,1469730,1763799326.7062485
AUROW,2022-01-26,34394,1763799327.8872392
AUROW,2022-02-04,74196,1763799329.0527203
AUROW,2022-02-11,21095,1763799330.126187
AUROW,2022-04-11,17991,1763799331.2136865
AUROW,2022-09-02,166109,1763799332.453435
AUROW,2024-11-18,29065,1763799333.5348227
AUROW,2024-12-06,74279,1763799334.7410707
AUTL,2021-05-12,3319109,1763799338.6943662
AUTL,2021-11-08,9595569,1763799352.814476
AUTL,2022-10-04,150526,1763799354.2192388
AUUD,2021-06-22,1819271,1763799357.8728106
AUUD,2021-06-23,4881706,1763799366.662035
AUUD,2021-06-25,2068962,1763799370.6505208
AUUD,2021-06-28,7929227,1763799379.8058958
AUUD,2021-06-29,18758823,1763799389.6838102
AUUD,2021-07-01,3162028,1763799391.9921842
AUUD,2021-08-16,2595112,1763799394.3794837
AUUD,2021-09-29,583928,1763799395.7477472
AUUD,2021-10-28,1073012,1763799397.2974086
AUUD,2022-07-15,182246,1763799398.471367
AUUD,2022-11-10,38549,1763799399.5819304
AUUD,2023-04-13,5760986,1763799402.9882963
AUUD,2023-04-18,907642,1763799404.4615848
AUUD,2023-06-12,16297191,1763799420.3863232
AUUD,2023-09-28,459000,1763799421.883998
AUUD,2024-02-05,77688,1763799423.0378954
AUUD,2024-02-15,729116,1763799424.4257948
AUUD,2024-04-08,34109732,1763799458.102662
AUUD,2024-04-16,969427,1763799459.943669
AUUD,2024-08-20,7686593,1763799469.025028
AUUD,2024-09-03,12601126,1763799481.6737971
AUUDW,2021-02-24,33907,1763799482.8216395
AUUDW,2021-06-23,180648,1763799484.0338554
AUUDW,2021-06-25,80219,1763799485.1890206
AUUDW,2021-06-28,175063,1763799486.6938777
AUUDW,2021-06-29,418829,1763799488.123652
AUUDW,2021-07-01,174395,1763799489.3286998
AUUDW,2022-01-06,28380,1763799490.4018528
AVAH,2022-10-17,343497,1763799491.8465817
AVAH,2023-01-13,1121082,1763799494.1929834
AVAH,2023-03-08,971139,1763799495.841364
AVAH,2023-06-23,215508,1763799497.6139128
AVAH,2024-08-08,300018,1763799498.9804466
AVAV,2021-01-14,928176,1763799500.6590815
AVAV,2023-09-06,2626130,1763799505.8588674
AVAV,2024-03-05,4080689,1763799512.6862545
AVD,2024-03-15,730594,1763799514.514156
AVDL,2020-02-21,995232,1763799516.5192206
AVDL,2020-03-19,360229,1763799518.0396862
AVDL,2020-04-27,2035903,1763799520.4698634
AVDL,2022-04-26,3036628,1763799523.3783908
AVDL,2022-05-27,15815408,1763799533.7544124
AVDL,2022-07-05,882365,1763799535.2702444
AVDL,2022-10-05,2331845,1763799537.364862
AVDL,2022-11-11,888292,1763799539.0049925
AVGX,2024-12-13,1817128,1763799541.917773
AVIR,2021-01-29,613436,1763799543.7666354
AVIR,2021-10-01,7938015,1763799556.6740348
AVIR,2023-05-22,1918335,1763799560.643253
AVL,2024-12-13,399355,1763799562.0928302
AVNW,2020-05-13,132158,1763799563.2559443
AVNW,2021-02-04,669085,1763799565.1069956
AVNW,2024-10-07,742347,1763799566.6507666
AVTR,2020-03-19,3140774,1763799570.3476999
AVTX,2022-05-17,181542,1763799571.6715581
AVTX,2022-06-03,301699,1763799574.0434496
AVTX,2022-08-09,155814,1763799575.339757
AVTX,2022-08-12,141291,1763799576.575516
