dest_dir,status,detail
AGAE_2025-09-12_150.25,good,451785
AGCC_2025-10-28_60.47,good,6550
AGEN_2025-04-22_42.86,good,20000
AGEN_2025-05-12_39.51,good,20812
AGH_2025-02-19_65.31,good,4624
AGH_2025-02-20_87.05,good,13884
AGH_2025-02-26_35.50,good,5080
AGH_2025-03-20_41.61,good,16384
AGH_2025-07-23_238.15,good,83050
AGH_2025-07-25_46.20,good,19513
AGH_2025-08-11_51.14,good,6493
AGH_2025-09-10_43.66,good,5349
AGH_2025-09-26_41.74,good,8087
AGH_2025-10-20_35.36,good,7040
AGL_2025-04-08_43.06,good,88494
AGMH_2025-03-06_182.30,good,592193
AGMH_2025-04-02_39.05,good,49865
AGMH_2025-04-23_158.00,good,307771
AGMH_2025-04-25_74.36,good,137020
AGMH_2025-04-28_203.50,good,657122
AGMH_2025-05-05_50.75,good,153002
AGMH_2025-05-16_39.50,good,94024
AGMH_2025-06-04_75.44,good,30083
AGMH_2025-09-09_30.39,good,2854
AGMH_2025-09-10_99.09,good,70659
AGMH_2025-09-19_711.66,good,2056601
AGRZ_2025-10-07_69.03,good,5974
AGRZ_2025-10-08_46.17,good,3095
AGRZ_2025-10-10_47.89,good,4465
AGRZ_2025-10-16_36.91,good,5334
AGRZ_2025-10-21_47.54,good,3383
AGX_2025-03-28_30.90,good,33143
AHG_2025-04-22_42.06,good,1380
AHG_2025-07-09_58.91,good,5961
AHMA_2025-10-29_34.12,good,3735
AHT_2025-02-13_38.74,good,1936
AI_2025-05-29_31.36,good,433407
AIFF_2025-01-14_205.26,good,704763
AIFF_2025-02-11_271.29,good,1095082
AIFF_2025-02-12_72.02,good,756671
AIFF_2025-02-13_32.61,good,390324
AIFF_2025-03-14_32.61,good,10959
AIFF_2025-03-17_34.58,good,14691
AIFF_2025-05-05_37.92,good,213849
AIFF_2025-08-26_40.15,good,374746
AIFU_2025-02-07_41.20,good,6089
AIFU_2025-05-02_146.70,good,74941
AIFU_2025-05-06_126.72,good,431657
AIFU_2025-05-12_84.20,good,64273
AIFU_2025-06-24_79.43,good,14341
AIHS_2025-06-05_48.35,good,95898
AIHS_2025-06-10_55.96,good,22567
AIHS_2025-09-03_244.17,good,1254750
AIHS_2025-09-08_38.66,good,8761
AIHS_2025-09-16_43.26,good,386789
AIHS_2025-10-01_53.50,good,101117
AIIO_2025-09-15_65.07,good,97959
AIIO_2025-09-16_45.70,good,102241
AIIO_2025-09-18_40.41,good,61203
AIIO_2025-09-25_34.98,good,54348
AIIO_2025-09-30_37.31,good,80752
AIMD_2025-01-06_60.62,good,11094
AIMD_2025-01-10_74.49,good,25351
AIMD_2025-01-14_32.43,good,2121
AIMD_2025-05-28_31.80,good,2257
AIMD_2025-08-06_93.13,good,765967
AIOT_2025-02-10_38.74,good,60871
AIP_2025-08-05_51.22,good,239838
AIP_2025-10-06_32.79,good,36782
AIRE_2025-09-11_95.71,good,248699
AIRE_2025-09-12_46.34,good,195083
AIRE_2025-10-22_78.67,good,461094
