filename,reason,size_bytes
ABP_trades_2024_12_19.parquet,already_in_filtered,607286
ABP_trades_2024_12_20.json,already_in_filtered,135
ABP_trades_2024_12_20.parquet,already_in_filtered,484793
ABP_trades_2025_05_15.parquet,migrated_and_verified,10800932
ABP_trades_2025_05_19.parquet,migrated_and_verified,4020683
ABP_trades_2025_05_28.parquet,migrated_and_verified,438467
ABP_trades_2025_07_23.parquet,migrated_and_verified,672319
ABP_trades_2025_07_28.parquet,migrated_and_verified,1398039
ABR_trades_2020_03_20.json,already_in_filtered,134
ABR_trades_2020_03_20.parquet,already_in_filtered,611225
ABR_trades_2020_03_25.json,already_in_filtered,134
ABR_trades_2020_03_25.parquet,already_in_filtered,180142
ABR_trades_2020_03_26.json,already_in_filtered,134
ABR_trades_2020_03_26.parquet,already_in_filtered,218872
ABR_trades_2020_04_06.json,already_in_filtered,134
ABR_trades_2020_04_06.parquet,already_in_filtered,136365
ABSI_trades_2022_01_07.json,already_in_filtered,137
ABSI_trades_2022_01_07.parquet,already_in_filtered,1443524
ABSI_trades_2022_08_11.json,already_in_filtered,135
ABSI_trades_2022_08_11.parquet,already_in_filtered,478991
ABSI_trades_2023_05_22.json,already_in_filtered,135
ABSI_trades_2023_05_22.parquet,already_in_filtered,119787
ABSI_trades_2023_12_04.json,already_in_filtered,135
ABSI_trades_2023_12_04.parquet,already_in_filtered,117865
ABSI_trades_2023_12_26.json,already_in_filtered,135
ABSI_trades_2023_12_26.parquet,already_in_filtered,177478
ABSI_trades_2023_12_27.json,already_in_filtered,135
ABSI_trades_2023_12_27.parquet,already_in_filtered,155249
ABSI_trades_2025_01_08.parquet,migrated_and_verified,6487970
ABSI_trades_2025_01_22.parquet,migrated_and_verified,2210933
ABTS_trades_2024_12_31.json,already_in_filtered,134
ABTS_trades_2024_12_31.parquet,already_in_filtered,149950
ABTS_trades_2025_04_14.parquet,migrated_and_verified,29591
ABTS_trades_2025_04_25.parquet,migrated_and_verified,21624
ABTS_trades_2025_05_09.parquet,migrated_and_verified,1584564
ABTS_trades_2025_07_02.parquet,migrated_and_verified,49369
ABTS_trades_2025_07_11.parquet,migrated_and_verified,53346
ABTS_trades_2025_09_19.parquet,migrated_and_verified,54131
ABTS_trades_2025_09_22.parquet,migrated_and_verified,63087
ABUS_trades_2020_03_19.json,already_in_filtered,133
ABUS_trades_2020_03_19.parquet,already_in_filtered,83763
ABUS_trades_2020_05_19.json,already_in_filtered,135
ABUS_trades_2020_05_19.parquet,already_in_filtered,314261
ABUS_trades_2020_07_20.json,already_in_filtered,135
ABUS_trades_2020_07_20.parquet,already_in_filtered,354435
ABUS_trades_2020_07_23.json,already_in_filtered,138
ABUS_trades_2020_07_23.parquet,already_in_filtered,1578504
ABUS_trades_2020_07_24.json,already_in_filtered,137
ABUS_trades_2020_07_24.parquet,already_in_filtered,1772050
ABUS_trades_2020_12_14.json,already_in_filtered,135
ABUS_trades_2020_12_14.parquet,already_in_filtered,409748
ABUS_trades_2021_12_01.json,already_in_filtered,138
ABUS_trades_2021_12_01.parquet,already_in_filtered,1788757
ABVC_2021-11-01_metadata.json,already_in_filtered,280
ABVC_2021-11-01_trades.parquet,already_in_filtered,2864514
ABVC_2023-01-05_metadata.json,already_in_filtered,243
ABVC_2023-01-05_trades.parquet,already_in_filtered,688812
ABVC_2023-10-26_metadata.json,already_in_filtered,339
ABVC_2023-10-26_trades.parquet,already_in_filtered,1786867
ABVC_trades_2021_08_10.json,already_in_filtered,135
ABVC_trades_2021_08_10.parquet,already_in_filtered,131457
ABVC_trades_2021_08_23.json,already_in_filtered,135
ABVC_trades_2021_08_23.parquet,already_in_filtered,296432
ABVC_trades_2021_09_01.json,already_in_filtered,136
ABVC_trades_2021_09_01.parquet,already_in_filtered,998795
ABVC_trades_2021_09_28.json,already_in_filtered,133
ABVC_trades_2021_09_28.parquet,already_in_filtered,72466
ABVC_trades_2021_10_15.json,already_in_filtered,135
ABVC_trades_2021_10_15.parquet,already_in_filtered,231054
ABVC_trades_2021_11_01.json,already_in_filtered,138
ABVC_trades_2021_11_01.parquet,already_in_filtered,2163492
ABVC_trades_2022_06_13.json,already_in_filtered,133
ABVC_trades_2022_06_13.parquet,already_in_filtered,51880
ABVC_trades_2023_01_05.json,already_in_filtered,137
ABVC_trades_2023_01_05.parquet,already_in_filtered,688812
ABVC_trades_2023_07_26.json,already_in_filtered,137
ABVC_trades_2023_07_26.parquet,already_in_filtered,1106477
ABVC_trades_2023_08_01.json,already_in_filtered,136
ABVC_trades_2023_08_01.parquet,already_in_filtered,483073
ABVC_trades_2023_10_26.json,already_in_filtered,138
ABVC_trades_2023_10_26.parquet,already_in_filtered,1786422
ABVC_trades_2023_11_16.json,already_in_filtered,134
ABVC_trades_2023_11_16.parquet,already_in_filtered,342608
ABVC_trades_2023_11_21.json,already_in_filtered,135
ABVC_trades_2023_11_21.parquet,already_in_filtered,325007
ABVC_trades_2024_01_03.json,already_in_filtered,138
ABVC_trades_2024_01_03.parquet,already_in_filtered,1663596
ABVC_trades_2024_03_26.json,already_in_filtered,134
ABVC_trades_2024_03_26.parquet,already_in_filtered,516235
ABVC_trades_2024_04_23.json,already_in_filtered,135
ABVC_trades_2024_04_23.parquet,already_in_filtered,193536
ABVC_trades_2025_04_01.parquet,migrated_and_verified,142344
ABVC_trades_2025_04_07.parquet,migrated_and_verified,377866
ABVC_trades_2025_07_08.parquet,migrated_and_verified,301325
ABVEW_trades_2025_10_08.parquet,migrated_and_verified,57851
ABVEW_trades_2025_10_16.parquet,migrated_and_verified,91475
ABVEW_trades_2025_10_17.parquet,migrated_and_verified,23930
ABVEW_trades_2025_10_27.parquet,migrated_and_verified,44178
ABVE_trades_2024_08_02.json,already_in_filtered,133
ABVE_trades_2024_08_02.parquet,already_in_filtered,31602
ABVE_trades_2024_08_09.json,already_in_filtered,135
ABVE_trades_2024_08_09.parquet,already_in_filtered,218271
ABVE_trades_2024_11_27.json,already_in_filtered,135
ABVE_trades_2024_11_27.parquet,already_in_filtered,136752
ABVE_trades_2025_04_28.parquet,migrated_and_verified,343500
ABVE_trades_2025_04_29.parquet,migrated_and_verified,703964
ABVE_trades_2025_04_30.parquet,migrated_and_verified,559418
ABVE_trades_2025_05_01.parquet,migrated_and_verified,380641
ABVE_trades_2025_05_13.parquet,migrated_and_verified,97688
ABVE_trades_2025_05_22.parquet,migrated_and_verified,78651
ABVE_trades_2025_06_16.parquet,migrated_and_verified,103724
ABVE_trades_2025_07_07.parquet,migrated_and_verified,713576
ABVE_trades_2025_07_10.parquet,migrated_and_verified,19185753
ABVE_trades_2025_07_11.parquet,migrated_and_verified,25996217
ABVE_trades_2025_07_17.parquet,migrated_and_verified,14250754
ABVE_trades_2025_09_24.parquet,migrated_and_verified,460732
ABVE_trades_2025_10_08.parquet,migrated_and_verified,3990713
ABVE_trades_2025_10_23.parquet,migrated_and_verified,425487
ABVX_trades_2025_07_23.parquet,migrated_and_verified,9030128
AB_trades_2020_03_19.json,already_in_filtered,133
AB_trades_2020_03_19.parquet,already_in_filtered,327308
ACAD_trades_2023_12_13.json,already_in_filtered,135
ACAD_trades_2023_12_13.parquet,already_in_filtered,1589393
ACAD_trades_2025_05_16.parquet,migrated_and_verified,3904841
ACB_trades_2020_03_26.json,already_in_filtered,136
ACB_trades_2020_03_26.parquet,already_in_filtered,3859801
ACB_trades_2020_05_15.json,already_in_filtered,136
ACB_trades_2020_05_15.parquet,already_in_filtered,2380369
ACB_trades_2020_05_18.json,already_in_filtered,136
ACB_trades_2020_05_18.parquet,already_in_filtered,2401200
ACB_trades_2020_05_21.json,already_in_filtered,135
ACB_trades_2020_05_21.parquet,already_in_filtered,2075537
ACB_trades_2020_11_05.json,already_in_filtered,136
ACB_trades_2020_11_05.parquet,already_in_filtered,2092424
ACB_trades_2020_11_06.json,already_in_filtered,136
ACB_trades_2020_11_06.parquet,already_in_filtered,1783867
ACB_trades_2020_11_09.json,already_in_filtered,136
ACB_trades_2020_11_09.parquet,already_in_filtered,2080464
ACB_trades_2020_11_24.json,already_in_filtered,136
ACB_trades_2020_11_24.parquet,already_in_filtered,1691044
ACB_trades_2023_09_11.json,already_in_filtered,136
ACB_trades_2023_09_11.parquet,already_in_filtered,1396965
ACB_trades_2024_04_03.json,already_in_filtered,136
ACB_trades_2024_04_03.parquet,already_in_filtered,1121906
ACB_trades_2024_04_30.json,already_in_filtered,135
ACB_trades_2024_04_30.parquet,already_in_filtered,893206
ACB_trades_2025_02_05.parquet,migrated_and_verified,7734972
ACB_trades_2025_09_29.parquet,migrated_and_verified,1325689
ACCL_trades_2025_10_24.parquet,migrated_and_verified,55890
ACCL_trades_2025_10_31.parquet,migrated_and_verified,83112
ACEL_trades_2020_03_24.json,already_in_filtered,133
ACEL_trades_2020_03_24.parquet,already_in_filtered,51449
ACET_trades_2020_09_18.json,already_in_filtered,133
ACET_trades_2020_09_18.parquet,already_in_filtered,49005
ACET_trades_2020_09_23.json,already_in_filtered,135
ACET_trades_2020_09_23.parquet,already_in_filtered,120925
ACET_trades_2021_02_10.json,already_in_filtered,134
ACET_trades_2021_02_10.parquet,already_in_filtered,89594
ACET_trades_2021_12_06.json,already_in_filtered,136
ACET_trades_2021_12_06.parquet,already_in_filtered,1538820
ACET_trades_2024_01_04.json,already_in_filtered,135
ACET_trades_2024_01_04.parquet,already_in_filtered,163125
ACET_trades_2024_01_09.json,already_in_filtered,135
ACET_trades_2024_01_09.parquet,already_in_filtered,338915
ACHC_trades_2020_03_26.json,already_in_filtered,135
ACHC_trades_2020_03_26.parquet,already_in_filtered,637641
ACHR.WS_trades_2021_11_01.json,already_in_filtered,136
ACHR.WS_trades_2021_11_01.parquet,already_in_filtered,18888
ACHR.WS_trades_2023_06_29.json,already_in_filtered,135
ACHR.WS_trades_2023_06_29.parquet,already_in_filtered,13441
ACHR.WS_trades_2023_07_31.json,already_in_filtered,136
ACHR.WS_trades_2023_07_31.parquet,already_in_filtered,19006
ACHR.WS_trades_2023_08_11.json,already_in_filtered,135
ACHR.WS_trades_2023_08_11.parquet,already_in_filtered,11062
ACHR.WS_trades_2023_11_14.json,already_in_filtered,135
ACHR.WS_trades_2023_11_14.parquet,already_in_filtered,27311
ACHR.WS_trades_2023_11_15.json,already_in_filtered,135
ACHR.WS_trades_2023_11_15.parquet,already_in_filtered,11988
ACHR.WS_trades_2024_11_21.json,already_in_filtered,136
ACHR.WS_trades_2024_11_21.parquet,already_in_filtered,20989
ACHR.WS_trades_2024_11_25.json,already_in_filtered,136
ACHR.WS_trades_2024_11_25.parquet,already_in_filtered,28399
ACHR.WS_trades_2024_11_27.json,already_in_filtered,136
ACHR.WS_trades_2024_11_27.parquet,already_in_filtered,25155
ACHR.WS_trades_2024_12_13.json,already_in_filtered,135
ACHR.WS_trades_2024_12_13.parquet,already_in_filtered,16964
ACHR.WS_trades_2025_04_09.parquet,migrated_and_verified,27508
ACHR.WS_trades_2025_05_13.parquet,migrated_and_verified,101406
ACHR.WS_trades_2025_05_16.parquet,migrated_and_verified,108529
ACHR.WS_trades_2025_10_06.parquet,migrated_and_verified,110028
ACHR_trades_2023_07_31.json,already_in_filtered,137
ACHR_trades_2023_07_31.parquet,already_in_filtered,1061344
ACHR_trades_2024_11_25.json,already_in_filtered,137
ACHR_trades_2024_11_25.parquet,already_in_filtered,1424202
ACHV_trades_2020_07_29.json,already_in_filtered,136
ACHV_trades_2020_07_29.parquet,already_in_filtered,1641136
ACHV_trades_2020_07_31.json,already_in_filtered,135
ACHV_trades_2020_07_31.parquet,already_in_filtered,542924
ACHV_trades_2021_01_21.json,already_in_filtered,135
ACHV_trades_2021_01_21.parquet,already_in_filtered,306190
ACHV_trades_2023_01_10.json,already_in_filtered,132
ACHV_trades_2023_01_10.parquet,already_in_filtered,29449
ACHV_trades_2025_10_17.parquet,migrated_and_verified,1928820
ACIC_trades_2021_02_10.json,already_in_filtered,137
ACIC_trades_2021_02_10.parquet,already_in_filtered,1830343
ACIC_trades_2023_11_14.json,already_in_filtered,135
ACIC_trades_2023_11_14.parquet,already_in_filtered,113051
ACIU_trades_2020_07_16.json,already_in_filtered,137
ACIU_trades_2020_07_16.parquet,already_in_filtered,2458244
ACIU_trades_2021_02_04.json,already_in_filtered,135
ACIU_trades_2021_02_04.parquet,already_in_filtered,125384
ACIU_trades_2021_02_11.json,already_in_filtered,136
ACIU_trades_2021_02_11.parquet,already_in_filtered,1093834
ACIU_trades_2021_06_07.json,already_in_filtered,135
ACIU_trades_2021_06_07.parquet,already_in_filtered,309769
ACIU_trades_2021_08_31.json,already_in_filtered,136
ACIU_trades_2021_08_31.parquet,already_in_filtered,2453088
ACIU_trades_2023_06_27.json,already_in_filtered,137
ACIU_trades_2023_06_27.parquet,already_in_filtered,1166784
ACIU_trades_2024_05_13.json,already_in_filtered,137
ACIU_trades_2024_05_13.parquet,already_in_filtered,1008097
ACLX_trades_2022_06_08.json,already_in_filtered,135
ACLX_trades_2022_06_08.parquet,already_in_filtered,263377
ACLX_trades_2022_12_09.json,already_in_filtered,135
ACLX_trades_2022_12_09.parquet,already_in_filtered,332962
ACMR_trades_2022_11_07.json,already_in_filtered,135
ACMR_trades_2022_11_07.parquet,already_in_filtered,202653
ACMR_trades_2023_01_03.json,already_in_filtered,135
ACMR_trades_2023_01_03.parquet,already_in_filtered,223501
ACMR_trades_2024_02_28.json,already_in_filtered,136
ACMR_trades_2024_02_28.parquet,already_in_filtered,742615
ACOG_trades_2025_05_16.parquet,migrated_and_verified,89840
ACON_trades_2025_01_24.parquet,migrated_and_verified,5789753
ACON_trades_2025_01_30.parquet,migrated_and_verified,1586881
ACON_trades_2025_02_04.parquet,migrated_and_verified,2270117
ACON_trades_2025_02_28.parquet,migrated_and_verified,2153084
ACON_trades_2025_03_03.parquet,migrated_and_verified,14514713
ACON_trades_2025_03_05.parquet,migrated_and_verified,1034994
ACON_trades_2025_03_14.parquet,migrated_and_verified,782422
ACON_trades_2025_03_17.parquet,migrated_and_verified,4316757
ACON_trades_2025_10_13.parquet,migrated_and_verified,2664293
ACRE_trades_2020_03_19.json,already_in_filtered,133
ACRE_trades_2020_03_19.parquet,already_in_filtered,260199
ACRE_trades_2020_03_26.json,already_in_filtered,134
ACRE_trades_2020_03_26.parquet,already_in_filtered,87944
ACRE_trades_2020_04_07.json,already_in_filtered,134
ACRE_trades_2020_04_07.parquet,already_in_filtered,97345
ACRE_trades_2020_04_08.json,already_in_filtered,135
ACRE_trades_2020_04_08.parquet,already_in_filtered,116943
ACRS_2021-01-19_metadata.json,already_in_filtered,245
ACRS_2021-01-19_trades.parquet,already_in_filtered,2822812
ACRS_trades_2020_06_17.json,already_in_filtered,134
ACRS_trades_2020_06_17.parquet,already_in_filtered,325420
ACRS_trades_2020_07_20.json,already_in_filtered,135
ACRS_trades_2020_07_20.parquet,already_in_filtered,180302
ACRS_trades_2020_12_16.json,already_in_filtered,135
ACRS_trades_2020_12_16.parquet,already_in_filtered,369567
ACRS_trades_2021_01_19.json,already_in_filtered,138
ACRS_trades_2021_01_19.parquet,already_in_filtered,2269652
ACRS_trades_2024_01_16.json,already_in_filtered,135
ACRS_trades_2024_01_16.parquet,already_in_filtered,130399
ACRS_trades_2024_10_25.json,already_in_filtered,135
ACRS_trades_2024_10_25.parquet,already_in_filtered,110155
ACRS_trades_2024_11_18.json,already_in_filtered,136
ACRS_trades_2024_11_18.parquet,already_in_filtered,620675
ACRS_trades_2024_11_19.json,already_in_filtered,137
ACRS_trades_2024_11_19.parquet,already_in_filtered,1172646
ACRV_trades_2024_03_15.json,already_in_filtered,133
ACRV_trades_2024_03_15.parquet,already_in_filtered,26151
ACRV_trades_2024_04_09.json,already_in_filtered,138
ACRV_trades_2024_04_09.parquet,already_in_filtered,1814065
ACRV_trades_2025_02_05.parquet,migrated_and_verified,222566
ACRV_trades_2025_04_15.parquet,migrated_and_verified,259489
ACRV_trades_2025_09_08.parquet,migrated_and_verified,4083041
