ticker,date,momentum_pct_str,source_folder,dest_dir
ADXN,2025-09-12,37.24,ADXN_trades_2025_09_12.parquet,ADXN_2025-09-12_37.24
ADXN,2025-10-17,40.33,ADXN_trades_2025_10_17.parquet,ADXN_2025-10-17_40.33
AEBI,2025-07-03,34.26,AEBI_trades_2025_07_03.parquet,AEBI_2025-07-03_34.26
AEHL,2025-02-12,35.75,AEHL_trades_2025_02_12.parquet,AEHL_2025-02-12_35.75
AEHL,2025-04-04,135.24,AEHL_trades_2025_04_04.parquet,AEHL_2025-04-04_135.24
AEHL,2025-04-09,285.78,AEHL_trades_2025_04_09.parquet,AEHL_2025-04-09_285.78
AEHL,2025-04-11,55.59,AEHL_trades_2025_04_11.parquet,AEHL_2025-04-11_55.59
AEHL,2025-04-22,31.98,AEHL_trades_2025_04_22.parquet,AEHL_2025-04-22_31.98
AEHL,2025-07-29,53.65,AEHL_trades_2025_07_29.parquet,AEHL_2025-07-29_53.65
AEHL,2025-08-14,32.53,AEHL_trades_2025_08_14.parquet,AEHL_2025-08-14_32.53
AEHL,2025-09-10,127.56,AEHL_trades_2025_09_10.parquet,AEHL_2025-09-10_127.56
AEHR,2025-04-09,30.53,AEHR_trades_2025_04_09.parquet,AEHR_2025-04-09_30.53
AEHR,2025-07-22,32.64,AEHR_trades_2025_07_22.parquet,AEHR_2025-07-22_32.64
AEHR,2025-08-25,42.38,AEHR_trades_2025_08_25.parquet,AEHR_2025-08-25_42.38
AEI,2025-06-30,38.30,AEI_trades_2025_06_30.parquet,AEI_2025-06-30_38.30
AEI,2025-09-03,37.04,AEI_trades_2025_09_03.parquet,AEI_2025-09-03_37.04
AEI,2025-09-08,33.73,AEI_trades_2025_09_08.parquet,AEI_2025-09-08_33.73
AEI,2025-09-11,59.24,AEI_trades_2025_09_11.parquet,AEI_2025-09-11_59.24
AEI,2025-09-16,41.74,AEI_trades_2025_09_16.parquet,AEI_2025-09-16_41.74
AEMD,2025-07-09,32.77,AEMD_trades_2025_07_09.parquet,AEMD_2025-07-09_32.77
AEMD,2025-08-21,146.85,AEMD_trades_2025_08_21.parquet,AEMD_2025-08-21_146.85
AEMD,2025-08-28,30.74,AEMD_trades_2025_08_28.parquet,AEMD_2025-08-28_30.74
AEO,2025-09-04,38.40,AEO_trades_2025_09_04.parquet,AEO_2025-09-04_38.40
AERT,2025-06-10,53.62,AERT_trades_2025_06_10.parquet,AERT_2025-06-10_53.62
AERT,2025-06-16,57.59,AERT_trades_2025_06_16.parquet,AERT_2025-06-16_57.59
AERT,2025-08-14,107.14,AERT_trades_2025_08_14.parquet,AERT_2025-08-14_107.14
AERT,2025-09-18,111.42,AERT_trades_2025_09_18.parquet,AERT_2025-09-18_111.42
AEVA,2025-03-20,38.59,AEVA_trades_2025_03_20.parquet,AEVA_2025-03-20_38.59
AEVAW,2025-06-27,47.50,AEVAW_trades_2025_06_27.parquet,AEVAW_2025-06-27_47.50
AEVAW,2025-07-02,44.93,AEVAW_trades_2025_07_02.parquet,AEVAW_2025-07-02_44.93
AFRIW,2025-01-30,31.59,AFRIW_trades_2025_01_30.parquet,AFRIW_2025-01-30_31.59
AFRIW,2025-02-12,46.81,AFRIW_trades_2025_02_12.parquet,AFRIW_2025-02-12_46.81
AGAE,2025-01-06,32.50,AGAE_trades_2025_01_06.parquet,AGAE_2025-01-06_32.50
AGAE,2025-05-12,71.56,AGAE_trades_2025_05_12.parquet,AGAE_2025-05-12_71.56
AGAE,2025-05-28,61.97,AGAE_trades_2025_05_28.parquet,AGAE_2025-05-28_61.97
AGAE,2025-06-03,30.89,AGAE_trades_2025_06_03.parquet,AGAE_2025-06-03_30.89
AGAE,2025-06-12,31.69,AGAE_trades_2025_06_12.parquet,AGAE_2025-06-12_31.69
AGAE,2025-09-12,150.25,AGAE_trades_2025_09_12.parquet,AGAE_2025-09-12_150.25
AGCC,2025-10-28,60.47,AGCC_trades_2025_10_28.parquet,AGCC_2025-10-28_60.47
AGEN,2025-04-22,42.86,AGEN_trades_2025_04_22.parquet,AGEN_2025-04-22_42.86
AGEN,2025-05-12,39.51,AGEN_trades_2025_05_12.parquet,AGEN_2025-05-12_39.51
AGH,2025-02-19,65.31,AGH_trades_2025_02_19.parquet,AGH_2025-02-19_65.31
AGH,2025-02-20,87.05,AGH_trades_2025_02_20.parquet,AGH_2025-02-20_87.05
AGH,2025-02-26,35.50,AGH_trades_2025_02_26.parquet,AGH_2025-02-26_35.50
AGH,2025-03-20,41.61,AGH_trades_2025_03_20.parquet,AGH_2025-03-20_41.61
AGH,2025-07-23,238.15,AGH_trades_2025_07_23.parquet,AGH_2025-07-23_238.15
AGH,2025-07-25,46.20,AGH_trades_2025_07_25.parquet,AGH_2025-07-25_46.20
